     count_list      y_history   x[0]_history   x[1]_history  dx[0]_history  dx[1]_history
             70    2.71566e-02    1.11653e+00    6.16526e-01   -3.03184e-03   -3.03184e-03
             71    2.57619e-02    1.11349e+00    6.13494e-01   -2.95564e-03   -2.95564e-03
             72    2.44375e-02    1.11054e+00    6.10539e-01   -2.88116e-03   -2.88116e-03
             73    2.31802e-02    1.10766e+00    6.07657e-01   -2.80836e-03   -2.80836e-03
             74    2.19866e-02    1.10485e+00    6.04849e-01   -2.73722e-03   -2.73722e-03
             75    2.08537e-02    1.10211e+00    6.02112e-01   -2.66772e-03   -2.66772e-03
             76    1.97783e-02    1.09944e+00    5.99444e-01   -2.59984e-03   -2.59984e-03
             77    1.87576e-02    1.09684e+00    5.96844e-01   -2.53354e-03   -2.53354e-03
             78    1.77890e-02    1.09431e+00    5.94311e-01   -2.46881e-03   -2.46881e-03
             79    1.68699e-02    1.09184e+00    5.91842e-01   -2.40561e-03   -2.40561e-03
             80    1.59977e-02    1.08944e+00    5.89436e-01   -2.34392e-03   -2.34392e-03
             81    1.51702e-02    1.08709e+00    5.87092e-01   -2.28372e-03   -2.28372e-03
             82    1.43850e-02    1.08481e+00    5.84809e-01   -2.22496e-03   -2.22496e-03
             83    1.36401e-02    1.08258e+00    5.82584e-01   -2.16763e-03   -2.16763e-03
             84    1.29335e-02    1.08042e+00    5.80416e-01   -2.11170e-03   -2.11170e-03
             85    1.22632e-02    1.07830e+00    5.78304e-01   -2.05714e-03   -2.05714e-03
             86    1.16273e-02    1.07625e+00    5.76247e-01   -2.00392e-03   -2.00392e-03
             87    1.10241e-02    1.07424e+00    5.74243e-01   -1.95202e-03   -1.95202e-03
             88    1.04521e-02    1.07229e+00    5.72291e-01   -1.90140e-03   -1.90140e-03
             89    9.90948e-03    1.07039e+00    5.70390e-01   -1.85204e-03   -1.85204e-03
             90    9.39488e-03    1.06854e+00    5.68538e-01   -1.80391e-03   -1.80391e-03
             91    8.90685e-03    1.06673e+00    5.66734e-01   -1.75699e-03   -1.75699e-03
             92    8.44402e-03    1.06498e+00    5.64977e-01   -1.71124e-03   -1.71124e-03
             93    8.00511e-03    1.06327e+00    5.63266e-01   -1.66665e-03   -1.66665e-03
             94    7.58890e-03    1.06160e+00    5.61599e-01   -1.62318e-03   -1.62318e-03
             95    7.19422e-03    1.05998e+00    5.59976e-01   -1.58082e-03   -1.58082e-03
             96    6.81997e-03    1.05840e+00    5.58395e-01   -1.53952e-03   -1.53952e-03
             97    6.46511e-03    1.05686e+00    5.56856e-01   -1.49928e-03   -1.49928e-03
             98    6.12864e-03    1.05536e+00    5.55356e-01   -1.46007e-03   -1.46007e-03
             99    5.80961e-03    1.05390e+00    5.53896e-01   -1.42185e-03   -1.42185e-03
            100    5.50712e-03    1.05247e+00    5.52474e-01   -1.38462e-03   -1.38462e-03
            101    5.22033e-03    1.05109e+00    5.51090e-01   -1.34833e-03   -1.34833e-03
            102    4.94842e-03    1.04974e+00    5.49741e-01   -1.31298e-03   -1.31298e-03
            103    4.69063e-03    1.04843e+00    5.48428e-01   -1.27854e-03   -1.27854e-03
            104    4.44622e-03    1.04715e+00    5.47150e-01   -1.24499e-03   -1.24499e-03
            105    4.21452e-03    1.04590e+00    5.45905e-01   -1.21230e-03   -1.21230e-03
            106    3.99486e-03    1.04469e+00    5.44693e-01   -1.18045e-03   -1.18045e-03
            107    3.78661e-03    1.04351e+00    5.43512e-01   -1.14943e-03   -1.14943e-03
            108    3.58920e-03    1.04236e+00    5.42363e-01   -1.11922e-03   -1.11922e-03
            109    3.40205e-03    1.04124e+00    5.41244e-01   -1.08978e-03   -1.08978e-03
