     count_list      y_history    x_0_history    x_1_history   dx_0_history   dx_1_history
             73    4.46714e-01    5.27394e-01    2.73936e-02    4.17841e-04    4.17841e-04
             74    4.45924e-01    5.27811e-01    2.78115e-02    4.18686e-04    4.18686e-04
             75    4.45134e-01    5.28230e-01    2.82302e-02    4.19526e-04    4.19526e-04
             76    4.44342e-01    5.28650e-01    2.86497e-02    4.20363e-04    4.20363e-04
             77    4.43550e-01    5.29070e-01    2.90700e-02    4.21196e-04    4.21196e-04
             78    4.42757e-01    5.29491e-01    2.94912e-02    4.22024e-04    4.22024e-04
             79    4.41963e-01    5.29913e-01    2.99133e-02    4.22849e-04    4.22849e-04
             80    4.41168e-01    5.30336e-01    3.03361e-02    4.23669e-04    4.23669e-04
             81    4.40373e-01    5.30760e-01    3.07598e-02    4.24486e-04    4.24486e-04
             82    4.39576e-01    5.31184e-01    3.11843e-02    4.25298e-04    4.25298e-04
             83    4.38779e-01    5.31610e-01    3.16096e-02    4.26107e-04    4.26107e-04
             84    4.37981e-01    5.32036e-01    3.20357e-02    4.26912e-04    4.26912e-04
             85    4.37182e-01    5.32463e-01    3.24626e-02    4.27713e-04    4.27713e-04
             86    4.36383e-01    5.32890e-01    3.28903e-02    4.28510e-04    4.28510e-04
             87    4.35583e-01    5.33319e-01    3.33188e-02    4.29303e-04    4.29303e-04
             88    4.34782e-01    5.33748e-01    3.37481e-02    4.30092e-04    4.30092e-04
             89    4.33980e-01    5.34178e-01    3.41782e-02    4.30878e-04    4.30878e-04
             90    4.33177e-01    5.34609e-01    3.46091e-02    4.31660e-04    4.31660e-04
             91    4.32374e-01    5.35041e-01    3.50407e-02    4.32438e-04    4.32438e-04
             92    4.31570e-01    5.35473e-01    3.54732e-02    4.33212e-04    4.33212e-04
             93    4.30766e-01    5.35906e-01    3.59064e-02    4.33982e-04    4.33982e-04
             94    4.29961e-01    5.36340e-01    3.63404e-02    4.34749e-04    4.34749e-04
             95    4.29155e-01    5.36775e-01    3.67751e-02    4.35512e-04    4.35512e-04
             96    4.28348e-01    5.37211e-01    3.72106e-02    4.36272e-04    4.36272e-04
             97    4.27541e-01    5.37647e-01    3.76469e-02    4.37028e-04    4.37028e-04
             98    4.26733e-01    5.38084e-01    3.80839e-02    4.37780e-04    4.37780e-04
             99    4.25924e-01    5.38522e-01    3.85217e-02    4.38528e-04    4.38528e-04
            100    4.25115e-01    5.38960e-01    3.89602e-02    4.39273e-04    4.39273e-04
            101    4.24306e-01    5.39400e-01    3.93995e-02    4.40015e-04    4.40015e-04
            102    4.23495e-01    5.39840e-01    3.98395e-02    4.40753e-04    4.40753e-04
            103    4.22684e-01    5.40280e-01    4.02803e-02    4.41487e-04    4.41487e-04
            104    4.21873e-01    5.40722e-01    4.07218e-02    4.42218e-04    4.42218e-04
            105    4.21061e-01    5.41164e-01    4.11640e-02    4.42945e-04    4.42945e-04
            106    4.20248e-01    5.41607e-01    4.16069e-02    4.43668e-04    4.43668e-04
            107    4.19435e-01    5.42051e-01    4.20506e-02    4.44389e-04    4.44389e-04
            108    4.18622e-01    5.42495e-01    4.24950e-02    4.45105e-04    4.45105e-04
            109    4.17808e-01    5.42940e-01    4.29401e-02    4.45819e-04    4.45819e-04
            110    4.16993e-01    5.43386e-01    4.33859e-02    4.46528e-04    4.46528e-04
            111    4.16178e-01    5.43832e-01    4.38324e-02    4.47235e-04    4.47235e-04
            112    4.15362e-01    5.44280e-01    4.42797e-02    4.47938e-04    4.47938e-04
            113    4.14546e-01    5.44728e-01    4.47276e-02    4.48637e-04    4.48637e-04
            114    4.13729e-01    5.45176e-01    4.51762e-02    4.49333e-04    4.49333e-04
            115    4.12912e-01    5.45626e-01    4.56256e-02    4.50026e-04    4.50026e-04
            116    4.12095e-01    5.46076e-01    4.60756e-02    4.50716e-04    4.50716e-04
            117    4.11277e-01    5.46526e-01    4.65263e-02    4.51402e-04    4.51402e-04
            118    4.10458e-01    5.46978e-01    4.69777e-02    4.52084e-04    4.52084e-04
            119    4.09640e-01    5.47430e-01    4.74298e-02    4.52764e-04    4.52764e-04
            120    4.08820e-01    5.47883e-01    4.78826e-02    4.53440e-04    4.53440e-04
            121    4.08001e-01    5.48336e-01    4.83360e-02    4.54113e-04    4.54113e-04
            122    4.07181e-01    5.48790e-01    4.87901e-02    4.54782e-04    4.54782e-04
            123    4.06360e-01    5.49245e-01    4.92449e-02    4.55449e-04    4.55449e-04
            124    4.05540e-01    5.49700e-01    4.97004e-02    4.56112e-04    4.56112e-04
            125    4.04718e-01    5.50156e-01    5.01565e-02    4.56771e-04    4.56771e-04
            126    4.03897e-01    5.50613e-01    5.06132e-02    4.57428e-04    4.57428e-04
